ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000010.SZ,20000110,8.32,2.5389,2.5389,2.17,52.2891,1355.5219,6.874,2.8907,2.4074,,,14701.7448,4950.0874,4950.0874,122318.5167,41184.7272
000010.SZ,20000111,7.78,1.5163,1.5163,0.93,48.8954,1267.5433,6.4279,2.7031,2.2511,,,14701.7448,4950.0874,4950.0874,114379.5745,38511.68
000010.SZ,20000112,7.5,0.9937,0.9937,0.54,47.1356,1221.9248,6.1965,2.6058,2.1701,,,14701.7448,4950.0874,4950.0874,110263.086,37125.6555
000010.SZ,20000113,7.51,0.6309,0.6309,0.35,47.1985,1223.554,6.2048,2.6093,2.173,,,14701.7448,4950.0874,4950.0874,110410.1034,37175.1564
000010.SZ,20000114,7.31,0.6044,0.6044,0.35,45.9415,1190.9694,6.0396,2.5398,2.1151,,,14701.7448,4950.0874,4950.0874,107469.7545,36185.1389
000010.SZ,20000117,7.22,0.5669,0.5669,0.45,45.3759,1176.3063,5.9652,2.5085,2.0891,,,14701.7448,4950.0874,4950.0874,106146.5975,35739.631
000010.SZ,20000118,7.34,0.7642,0.7642,0.89,46.1301,1195.8571,6.0643,2.5502,2.1238,,,14701.7448,4950.0874,4950.0874,107910.8068,36333.6415
000010.SZ,20000119,7.36,0.6067,0.6067,0.85,46.2558,1199.1155,6.0809,2.5572,2.1296,,,14701.7448,4950.0874,4950.0874,108204.8417,36432.6433
000010.SZ,20000120,7.25,0.8547,0.8547,1.35,45.5645,1181.194,5.99,2.519,2.0978,,,14701.7448,4950.0874,4950.0874,106587.6498,35888.1337
000010.SZ,20000121,7.09,1.8624,1.8624,2.74,44.5589,1155.1262,5.8578,2.4634,2.0515,,,14701.7448,4950.0874,4950.0874,104235.3706,35096.1197
000010.SZ,20000124,6.75,1.9612,1.9612,2.11,42.4221,1099.7323,5.5769,2.3452,1.9531,,,14701.7448,4950.0874,4950.0874,99236.7774,33413.09
000010.SZ,20000125,7.04,1.9992,1.9992,1.65,44.2447,1146.9801,5.8165,2.446,2.037,,,14701.7448,4950.0874,4950.0874,103500.2834,34848.6153
000010.SZ,20000126,6.93,1.0539,1.0539,0.72,43.5533,1129.0585,5.7256,2.4078,2.0052,,,14701.7448,4950.0874,4950.0874,101883.0915,34304.1057
000010.SZ,20000127,7.08,1.0624,1.0624,0.69,44.4961,1153.497,5.8495,2.4599,2.0486,,,14701.7448,4950.0874,4950.0874,104088.3532,35046.6188
000010.SZ,20000128,7.09,1.6365,1.6365,1.03,44.5589,1155.1262,5.8578,2.4634,2.0515,,,14701.7448,4950.0874,4950.0874,104235.3706,35096.1197
000010.SZ,20000214,7.75,3.4749,3.4749,2.25,48.7068,1262.6556,6.4031,2.6927,2.2425,,,14701.7448,4950.0874,4950.0874,113938.5222,38363.1774
000010.SZ,20000215,7.46,4.4557,4.4557,2.41,46.8843,1215.4079,6.1635,2.5919,2.1585,,,14701.7448,4950.0874,4950.0874,109675.0162,36927.652
000010.SZ,20000216,8.05,5.2033,5.2033,2.23,50.5923,1311.5326,6.651,2.7969,2.3293,,,14701.7448,4950.0874,4950.0874,118349.0456,39848.2036
000010.SZ,20000217,7.84,6.8195,6.8195,2.15,49.2725,1277.3187,6.4774,2.7239,2.2685,,,14701.7448,4950.0874,4950.0874,115261.6792,38808.6852
000010.SZ,20000218,7.7,2.2198,2.2198,0.51,48.3926,1254.5094,6.3618,2.6753,2.228,,,14701.7448,4950.0874,4950.0874,113203.435,38115.673
000010.SZ,20000221,7.9,3.587,3.587,0.81,49.6495,1287.0941,6.527,2.7448,2.2859,,,14701.7448,4950.0874,4950.0874,116143.7839,39105.6905
000010.SZ,20000222,7.56,2.262,2.262,0.51,47.5127,1231.7002,6.2461,2.6267,2.1875,,,14701.7448,4950.0874,4950.0874,111145.1907,37422.6607
000010.SZ,20000223,7.79,1.8984,1.8984,0.47,48.9582,1269.1725,6.4361,2.7066,2.254,,,14701.7448,4950.0874,4950.0874,114526.592,38561.1808
000010.SZ,20000224,7.82,1.7278,1.7278,0.51,49.1468,1274.0602,6.4609,2.717,2.2627,,,14701.7448,4950.0874,4950.0874,114967.6443,38709.6835
000010.SZ,20000225,7.57,1.3701,1.3701,0.59,47.5756,1233.3294,6.2544,2.6301,2.1904,,,14701.7448,4950.0874,4950.0874,111292.2081,37472.1616
